Question,Average,ID,gt_df
"The investment advice needs to be conducted by a customer advisor with a securities competence of level C or above..executed_by( 'conduct investment advice', 'customer advisor') and condition_eventual",3.0,4,Y
"The investment advice needs to be conducted by a customer advisor with a securities competence of level C or above..executed_by( 'conduct_investment_advice', 'customer_advisor_with_securities_competen",3.0,5,Y
"The customer identification and legitimation must be handled by the customer advisor, while suspected cases of money laundering must be checked by an antimoney-laundering officer..executed_by( 'handle",4.0,1,Y
"The customer identification and legitimation must be handled by the customer advisor, while suspected cases of money laundering must be checked by an antimoney-laundering officer..executed_by('conduct",3.0,2,Y
"The customer identification and legitimation must be handled by the customer advisor, while suspected cases of money laundering must be checked by an antimoney-laundering officer..executed_by( 'handle1",4.0,3,Y
"The customer identification and legitimation must be handled by the customer advisor, while suspected cases of money laundering must be checked by an antimoney-laundering officer..executed_by('handle ",3.6666666666666665,4,X
"The customer identification and legitimation must be handled by the customer advisor, while suspected cases of money laundering must be checked by an antimoney-laundering officer..executed_by( 'handle2",2.6666666666666665,5,Y
"Before concluding a  custody-account contract, the customer advisor needs to wait until the  suspected case of anti-money laundering is resolved..precedence( 'conclude custody account contract', 'reso",2.6666666666666665,1,Y
"Before concluding a  custody-account contract, the customer advisor needs to wait until the  suspected case of anti-money laundering is resolved..precedence('conclude custody account contract','resolv",2.6666666666666665,2,X
"Before concluding a  custody-account contract, the customer advisor needs to wait until the  suspected case of anti-money laundering is resolved..precedence( 'conclude_custody_account_contract', 'reso",2.6666666666666665,3,Y
"Before concluding a  custody-account contract, the customer advisor needs to wait until the  suspected case of anti-money laundering is resolved..precedence('conclude custody account', 'conduct custom",1.6666666666666667,4,Y
"Before concluding a  custody-account contract, the customer advisor needs to wait until the  suspected case of anti-money laundering is resolved..precedence( 'conclude custody account contract', 'reso1",2.6666666666666665,5,Y
"The customer information must be updated with every future customer contact..condition_eventually_follows('not data.customer.status == \""new\""', 'update customer data')",3.3333333333333335,1,Y
"The customer information must be updated with every future customer contact..leads_to( 'customer contact', 'update customer information')",4.333333333333333,2,Y
"The customer information must be updated with every future customer contact..leads_to(tree, 'contact customer', 'update customer information') and activity_sends(tree, 'update customer information', '",2.0,3,Y
"The customer information must be updated with every future customer contact..loop( \""updateCustomerInformation\"")",1.0,4,X
"The customer information must be updated with every future customer contact..leads_to( 'contact customer', 'update customer information')",2.6666666666666665,5,Y
